left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.043785997,0.08853762,0.03120778,0.027355198,0.006029358,0.005572154,0.050001998,0.1538362,0.06652766,0.062304527,0.011596113,0.04762549,0.0133132655,0.052007228,0.044771142,0.07499645,0.07009266,0.041037526,0.036625583,0.07277603
aci,0.0062106885,0.032524843,0.018488202,0.09163362,0.06357928,0.072843835,0.035499558,0.06033575,0.01982829,0.026087774,0.05666968,0.082110725,0.0069282427,0.07056886,0.048890002,0.030172067,0.05483084,0.12997098,0.043384746,0.04944202
acn,0.047843482,0.25368106,0.016704625,0.06573694,0.045553185,0.07794578,0.017526284,0.023912348,0.017462559,0.056673314,0.04641668,0.020129215,0.057637274,0.011990567,0.037573334,0.026054434,0.035196073,0.044436775,0.04245891,0.0550672
aco,0.012345526,0.06469654,0.09857117,0.031914465,0.02773225,0.10156735,0.06657415,0.15034775,0.07039973,0.019846253,0.04116697,0.012025956,0.018036302,0.044583187,0.036173806,0.054665346,0.0633089,0.017202228,0.040540893,0.028301254
acu,0.03413726,0.1583212,0.082907185,0.07191066,0.04060174,0.022274513,0.002600492,0.026298398,0.027584964,0.03774929,0.07506574,0.022796147,0.20122258,0.021350583,0.019229604,0.026726332,0.024380183,0.019635549,0.057902116,0.027305467
acw,0.03349988,0.13834703,0.057828132,0.06368774,0.07156444,0.035588037,0.027318249,0.056834422,0.005485424,0.014591614,0.024893874,0.072052434,0.02764958,0.03802893,0.027593836,0.07614819,0.021343019,0.16979809,0.014784743,0.022962281
adt,0.0586921,0.07740806,0.009932938,0.1035209,0.06694428,0.051302098,0.011047334,0.013572257,0.0082609905,0.03686196,0.089580886,0.014035763,0.10025003,0.05438849,0.07516255,0.04738547,0.06734526,0.029656386,0.03970409,0.044948142
aei,0.041543182,0.034378935,0.08883263,0.03413032,0.017494628,0.08709966,0.032013427,0.08434462,0.04053097,0.064947814,0.038682025,0.038741086,0.04009291,0.015031903,0.088580094,0.053964622,0.035462312,0.112074584,0.02648489,0.025569467
aej,0.12979995,0.05479554,0.02305902,0.033843506,0.02443808,0.05880352,0.01566525,0.055677734,0.028910486,0.031128477,0.030128628,0.15211648,0.06318036,0.03266344,0.040669132,0.03313304,0.024201065,0.007877888,0.047948625,0.11195983
aem,0.12536648,0.023728292,0.00818677,0.042593118,0.071102224,0.03240376,0.06065872,0.07039896,0.026139172,0.038470257,0.057525557,0.032964267,0.03294295,0.013778823,0.048796657,0.05821757,0.059217602,0.048923776,0.03320801,0.11537709
aes,0.048201762,0.024561988,0.029029131,0.084500894,0.031646878,0.026794152,0.051450137,0.06275404,0.020045146,0.011346136,0.089807644,0.029043077,0.031944655,0.038968604,0.068135776,0.034328133,0.015572741,0.22139893,0.046234235,0.034235913
afd,0.01127194,0.014178704,0.01760611,0.047781985,0.03595603,0.043055955,0.046090424,0.016158933,0.016305065,0.03606079,0.10406877,0.42696524,0.050249267,0.014606317,0.007239794,0.012933263,0.027943509,0.04107724,0.013423235,0.017027508
afl,0.011147316,0.038756173,0.012676663,0.008503095,0.012005584,0.032607198,0.08049377,0.01752492,0.41816866,0.021562126,0.057359155,0.017319981,0.035597127,0.010166052,0.017994419,0.03937768,0.018243482,0.015048039,0.0050838026,0.13036484
agb,0.052198455,0.15288673,0.03297417,0.06909416,0.0425026,0.0032884069,0.024911515,0.004651695,0.076148055,0.015176233,0.029853303,0.021003552,0.044926986,0.12808013,0.012251283,0.030592965,0.05128152,0.071288384,0.12177518,0.015114615
agl,0.02260055,0.017878119,0.033713978,0.23188141,0.09777811,0.029009445,0.034179214,0.018288417,0.045617547,0.1308729,0.025783781,0.028749328,0.037713885,0.024329856,0.01798903,0.027732536,0.04331171,0.04569144,0.03529488,0.051583838
ahg,0.028841946,0.012403235,0.03217754,0.061359752,0.020983417,0.022550631,0.02087758,0.154876,0.005089003,0.013853688,0.07318298,0.04550432,0.017071877,0.021466361,0.03645341,0.096791774,0.11120546,0.14921725,0.037902236,0.038191527
ahr,0.07064797,0.02763481,0.040931124,0.04714302,0.122057974,0.038288865,0.029391548,0.0042875544,0.031785287,0.065556295,0.026863534,0.04595189,0.15130273,0.04583642,0.061132144,0.06246555,0.037558917,0.015118104,0.069474906,0.006571357
aik,0.043205973,0.06993009,0.03538914,0.036305647,0.046099853,0.062127776,0.13583158,0.028988661,0.0542144,0.011344365,0.08772958,0.06848963,0.05061,0.026212059,0.041813802,0.055963,0.03405816,0.071173064,0.0057997266,0.034713496
aiv,0.028552238,0.06699114,0.05098908,0.011312868,0.031041874,0.03953638,0.02531646,0.039187722,0.04865812,0.052437436,0.18394516,0.07153062,0.06632285,0.017162878,0.03324949,0.020347076,0.022428531,0.07659229,0.078235045,0.03616271
ajf,0.039121587,0.047126476,0.046779703,0.030620888,0.013361147,0.032212377,0.07332329,0.0640864,0.041195508,0.046927035,0.06128934,0.0696683,0.029498413,0.050538525,0.035259806,0.088574775,0.03340259,0.12512128,0.009167311,0.06272532
ajk,0.038099997,0.0693663,0.021411574,0.014812719,0.04576664,0.17952566,0.019397521,0.018284883,0.020738624,0.018214336,0.03838655,0.028290823,0.017270736,0.018791266,0.020873472,0.013287054,0.049912356,0.30250543,0.01596216,0.04910185
aka,0.044720598,0.05843258,0.058790103,0.03174101,0.04609934,0.13974056,0.06525724,0.05295193,0.052188326,0.022695,0.08151714,0.03997844,0.022232259,0.018987825,0.044209484,0.039093357,0.033979177,0.080998376,0.030612864,0.03577438
akg,0.019714,0.0468577,0.027880805,0.022794826,0.023009589,0.025742393,0.010721772,0.034205254,0.019980889,0.0047898735,0.022523707,0.03243939,0.1877613,0.025252692,0.057858944,0.0406028,0.023466429,0.077844806,0.25268278,0.043870054
alc,0.01987655,0.027038202,0.006535403,0.030120984,0.02240347,0.008762274,0.020986287,0.078383654,0.030929869,0.028894048,0.059767205,0.03149076,0.025404522,0.13293262,0.2549791,0.008987285,0.067580335,0.01495381,0.10550188,0.024471717
ali,0.00808469,0.06969933,0.058354665,0.085522205,0.0151127335,0.016227406,0.08280804,0.065516524,0.022905039,0.038268752,0.0073273224,0.014975612,0.012298863,0.03571206,0.09434084,0.026895396,0.0958639,0.09829148,0.13569301,0.01610218
alt,0.014106143,0.026513929,0.07152707,0.03384622,0.08921197,0.04676502,0.011999498,0.02158488,0.0065497793,0.064851515,0.036809843,0.063649125,0.06485466,0.008641728,0.037481748,0.08282356,0.035430588,0.11277944,0.055015165,0.11555807
alx,0.050441742,0.027200477,0.03354806,0.03369798,0.07281811,0.021265516,0.018642921,0.017087584,0.029714104,0.049324024,0.029934892,0.010437783,0.08086087,0.21205653,0.015091069,0.028591057,0.0374763,0.12303035,0.091744035,0.017036645
aly,0.034920894,0.08182053,0.103403196,0.017486656,0.0687672,0.028597657,0.040556937,0.01270502,0.078884736,0.078175,0.027762298,0.020316886,0.10726836,0.040383164,0.09420821,0.022723213,0.022951812,0.017327389,0.024869872,0.076870985
ama,0.0566036,0.019892605,0.1138159,0.24777913,0.034097116,0.021054147,0.02617577,0.09422812,0.022342343,0.027815092,0.029789248,0.041661598,0.025840834,0.04758779,0.020027881,0.00818093,0.0042845192,0.07354557,0.015470115,0.069807716
amb,0.10551646,0.04930007,0.059871316,0.073820725,0.056459155,0.10749671,0.053004023,0.025263377,0.015307646,0.023313196,0.04669312,0.04202372,0.017379954,0.05164474,0.005285494,0.075653896,0.011470936,0.034722324,0.04745563,0.098317556
amd,0.037180465,0.014223459,0.046771634,0.09946567,0.0075540724,0.01330524,0.010277398,0.111274004,0.051713545,0.014785375,0.04560953,0.051807784,0.018438349,0.16840228,0.054254454,0.024895392,0.08871674,0.046012122,0.07392425,0.021388285
