left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.027019335,0.09957542,0.04557548,0.030558288,0.024169745,0.014161865,0.047099758,0.04941862,0.0189413,0.03889781,0.013273836,0.1482244,0.059648547,0.03896747,0.026023474,0.05454908,0.1403805,0.036422905,0.036564946,0.050527144
aci,0.05450956,0.036590755,0.050781604,0.035104524,0.04943667,0.04876561,0.035937358,0.06780758,0.04124205,0.039644852,0.04947479,0.055677496,0.06562604,0.062481485,0.04216953,0.044864736,0.051443662,0.06926742,0.047208585,0.051965624
acn,0.052298117,0.06398066,0.027383298,0.019050468,0.03286654,0.07814911,0.046554968,0.0697549,0.038291477,0.07228881,0.036616962,0.028802257,0.07983812,0.057591166,0.022821048,0.03344921,0.058066547,0.054373693,0.04506391,0.08275877
aco,0.07352633,0.023046806,0.08893901,0.08291456,0.032146595,0.049526624,0.08289793,0.06424436,0.05293949,0.05098146,0.03682924,0.035766434,0.03192501,0.039850146,0.025407245,0.053494927,0.059804127,0.029762309,0.054949395,0.031047942
acu,0.033889282,0.062449772,0.058741637,0.053760637,0.076024905,0.049439266,0.015127958,0.03511588,0.025325418,0.038224705,0.089918524,0.032063376,0.1189758,0.038156215,0.04254253,0.02427247,0.025534006,0.07415342,0.06367483,0.042609468
acw,0.0377233,0.106789835,0.04320112,0.036463995,0.057425424,0.051702134,0.0306457,0.03316494,0.037434537,0.061333325,0.07187647,0.03142913,0.031286366,0.06464174,0.032944262,0.04762079,0.02094002,0.15442783,0.026692871,0.02225623
adt,0.05249483,0.039568502,0.03699381,0.055737335,0.022967694,0.04783976,0.05364137,0.024813134,0.032379307,0.041510515,0.053384572,0.034555074,0.10633986,0.0449263,0.059539758,0.044305246,0.03071741,0.074900664,0.087937154,0.055447686
aei,0.08283994,0.032469947,0.04502188,0.027385848,0.04874706,0.062240828,0.03825779,0.081029594,0.04830259,0.06727174,0.030552343,0.0545102,0.058563393,0.04226591,0.06484995,0.02630612,0.03911788,0.06727963,0.04763309,0.035354268
aej,0.05971421,0.06582439,0.046439502,0.046766892,0.03416465,0.044772536,0.03441488,0.06812696,0.036651634,0.03863311,0.06258583,0.084603444,0.07412863,0.037005648,0.03511456,0.060865734,0.026239306,0.018872201,0.042245094,0.082830876
aem,0.04626353,0.02188438,0.07154535,0.0390946,0.042375214,0.0620964,0.0369958,0.042022478,0.031348094,0.03702503,0.10162984,0.0311911,0.036810484,0.02585877,0.04035661,0.09550552,0.04999272,0.041009575,0.06997391,0.07702067
aes,0.09634175,0.041520886,0.043897256,0.031826746,0.056760307,0.030034075,0.050436925,0.07597353,0.0527849,0.059227254,0.06778502,0.048334844,0.050717678,0.04951783,0.033687245,0.03760343,0.03012468,0.0765025,0.045424484,0.021498622
afd,0.020671835,0.026033685,0.040962316,0.043107722,0.11763585,0.15518004,0.029200781,0.02781825,0.030267445,0.076323986,0.08801092,0.105735354,0.019145783,0.037235957,0.027427698,0.029050276,0.017950764,0.04936075,0.031957705,0.026922837
afl,0.03303338,0.019093819,0.04501803,0.019663896,0.031837422,0.028387778,0.06144395,0.03851673,0.16673551,0.059874717,0.04928218,0.03444091,0.039659772,0.04556417,0.06406824,0.07232709,0.035450533,0.074428454,0.014322298,0.06685098
agb,0.016632197,0.19573852,0.023640798,0.05713449,0.09531569,0.02633646,0.020246796,0.021893637,0.10014348,0.031722426,0.02124525,0.0369111,0.079963475,0.033164088,0.02076638,0.024721956,0.03081544,0.05764964,0.07879738,0.027160807
agl,0.059793543,0.036165085,0.05638557,0.053346906,0.07724964,0.065213315,0.011151242,0.06698844,0.041855365,0.06271431,0.036742125,0.04397268,0.033829022,0.049608324,0.02942147,0.053219225,0.060462173,0.03077162,0.0795416,0.051568355
