left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.03216289,0.06217506,0.053060517,0.038655456,0.029101664,0.033918675,0.04360242,0.057983287,0.03739246,0.047674146,0.03933118,0.09065533,0.039434098,0.047764823,0.053839996,0.05159233,0.095084466,0.048428632,0.041070536,0.057072
aci,0.043842837,0.04483586,0.042692974,0.07963955,0.04600102,0.0396571,0.048482463,0.043950714,0.039885934,0.047178574,0.052007046,0.054951623,0.052442856,0.03946891,0.06035454,0.03813844,0.04727264,0.06851184,0.04558088,0.06510423
acn,0.057604503,0.09794053,0.031704705,0.042596895,0.03299716,0.06394204,0.07295217,0.0457252,0.03311262,0.046093546,0.04925869,0.029683461,0.07060363,0.037572067,0.035734653,0.04340369,0.045176934,0.05851411,0.036451023,0.06893222
aco,0.04884921,0.04135862,0.050653655,0.04584617,0.037734058,0.068240814,0.046479326,0.072095774,0.054611225,0.053585656,0.045881733,0.035388924,0.031849872,0.041719325,0.043358684,0.07255501,0.05420278,0.037105728,0.05210702,0.06637636
acu,0.056717385,0.07396294,0.045875676,0.05189409,0.0581249,0.04667146,0.029466486,0.034663584,0.030770767,0.043313276,0.0870349,0.032252785,0.09210779,0.032770034,0.04448595,0.035115626,0.03649938,0.054540336,0.06604302,0.04768957
acw,0.03649607,0.06595335,0.044792015,0.053025167,0.068052165,0.055772025,0.035120517,0.039611146,0.037822224,0.05370091,0.070952915,0.043204155,0.046152715,0.05452938,0.047110338,0.043880053,0.047923826,0.07981859,0.03757631,0.038506094
adt,0.07332196,0.03760295,0.046067886,0.043101348,0.046597555,0.053864833,0.04578165,0.028165324,0.023906223,0.04065595,0.05977117,0.03407752,0.053163487,0.068990864,0.06941445,0.048046015,0.057197817,0.05685175,0.05697172,0.056449477
aei,0.044818822,0.045491554,0.055223003,0.033277903,0.037289254,0.059241176,0.04441848,0.052716587,0.06491835,0.057993155,0.056891445,0.05254622,0.049150147,0.034716003,0.049294114,0.054526545,0.042214252,0.06539972,0.04727423,0.05259894
aej,0.047583718,0.06751837,0.04395803,0.053796574,0.03894251,0.046002932,0.04240058,0.048895072,0.04869323,0.050463486,0.048119765,0.068781175,0.062450558,0.050202418,0.040584784,0.04371067,0.052646812,0.040967878,0.043485325,0.06079607
aem,0.051134795,0.035290595,0.059836492,0.047990475,0.06123809,0.06999206,0.055565007,0.039207004,0.030884704,0.02891145,0.08937799,0.033622295,0.03439136,0.032479346,0.060468294,0.05524758,0.041142877,0.05204156,0.062030803,0.059147183
