left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.03299679,0.06609647,0.06246251,0.03385539,0.023584351,0.02349193,0.038062118,0.07027782,0.02389654,0.04995935,0.019799203,0.09622843,0.042185258,0.045349706,0.0390163,0.06374237,0.12194382,0.040563546,0.056866203,0.0496219
aci,0.025050662,0.03683415,0.029442215,0.043445203,0.052047834,0.050362945,0.043734588,0.055892996,0.04652244,0.06546257,0.09507144,0.07334772,0.07073269,0.033541564,0.04557003,0.03261087,0.036463577,0.0642624,0.05094747,0.048656706
acn,0.049229387,0.080794215,0.028306967,0.033223253,0.046283808,0.06375426,0.05364002,0.044868514,0.03368244,0.0502261,0.045964867,0.03254515,0.087236986,0.051324684,0.029072028,0.034790263,0.077268526,0.06771792,0.03770861,0.05236192
aco,0.06542539,0.022073444,0.08629488,0.05883511,0.029652888,0.07008156,0.06216435,0.07952797,0.06525661,0.053517316,0.032743048,0.029516539,0.028490487,0.048511237,0.031537615,0.052560437,0.06915893,0.02924549,0.049765434,0.035641253
acu,0.053196635,0.058051087,0.059550554,0.052913606,0.05813268,0.043711327,0.024393214,0.035920013,0.03373406,0.040019147,0.057326064,0.03483839,0.12749636,0.04052371,0.044646572,0.037920356,0.027449448,0.08795896,0.049005143,0.033212665
acw,0.04180679,0.08835118,0.05449482,0.037376028,0.057412233,0.06626164,0.035058305,0.044411555,0.0355068,0.061583858,0.060648322,0.033701465,0.034209304,0.053615626,0.040487424,0.042816013,0.032150753,0.11554892,0.037139595,0.027419467
adt,0.048403792,0.038672492,0.048005782,0.06365146,0.031169824,0.060797513,0.044202365,0.030768145,0.035372972,0.042354237,0.05247039,0.034311283,0.11786522,0.048177607,0.057200078,0.047448907,0.02425329,0.057208057,0.06296596,0.054700613
aei,0.094448335,0.040370893,0.07764097,0.043615434,0.06521268,0.05602443,0.052871056,0.04794223,0.03550432,0.032238994,0.058384363,0.059104834,0.04488592,0.030391365,0.043529186,0.030751457,0.05008747,0.04624392,0.044075944,0.04667618
aej,0.063355386,0.09055732,0.047577832,0.045365553,0.03511134,0.035249326,0.027838472,0.05789772,0.039426465,0.037790097,0.072187275,0.06346337,0.06631442,0.032768227,0.03994155,0.06458478,0.04127532,0.029941961,0.039191596,0.07016193
aem,0.051622838,0.021837298,0.055719346,0.04148463,0.05386569,0.058766235,0.032287303,0.05143864,0.036255583,0.035831407,0.07032068,0.055322956,0.039717097,0.03190493,0.048493735,0.090673275,0.04906278,0.06549571,0.054246444,0.05565343
