left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.024607452,0.100975685,0.03812799,0.03838155,0.027676709,0.022460252,0.04246278,0.052378986,0.02228392,0.04654052,0.02831849,0.12618838,0.051773366,0.031187171,0.032455515,0.04898359,0.14579248,0.038512573,0.031161435,0.049731176
aci,0.04373085,0.034791473,0.041043233,0.028264599,0.042787295,0.053376246,0.037820768,0.056386013,0.037366975,0.06855499,0.05659063,0.06657128,0.06539344,0.054781917,0.0438107,0.04863932,0.04243315,0.06403432,0.04650863,0.06711408
acn,0.04958418,0.084754534,0.025927845,0.025338657,0.036338612,0.061068997,0.0575183,0.07108805,0.030540515,0.06580995,0.051457155,0.024435978,0.09008753,0.04801902,0.019678518,0.03296382,0.05821399,0.06068497,0.035006676,0.07148277
aco,0.077515595,0.023948008,0.08612977,0.09160034,0.023079565,0.048845097,0.07101941,0.079159014,0.051728178,0.05142465,0.032374203,0.028309567,0.027466338,0.04037515,0.02780403,0.058190513,0.07142896,0.023480333,0.05571303,0.030408423
acu,0.03820843,0.04218236,0.055867393,0.049346045,0.06898534,0.043010015,0.020354755,0.032945123,0.025672276,0.032251015,0.10319719,0.029790537,0.15479603,0.038873546,0.03836766,0.026429228,0.024107212,0.08000872,0.05602381,0.039583247
acw,0.035135858,0.09259173,0.042489383,0.03621534,0.057030182,0.060143225,0.028413977,0.034756772,0.03299983,0.06014572,0.0803397,0.03202112,0.037256308,0.07017741,0.030747522,0.045345437,0.017953426,0.15503988,0.03078571,0.020411357
adt,0.061800357,0.02846734,0.04872197,0.051599577,0.022088917,0.03964547,0.04998498,0.028665427,0.03368165,0.039223664,0.049960285,0.023640186,0.10299774,0.04825776,0.06790886,0.03831036,0.032214046,0.06786935,0.09356732,0.07139482
aei,0.09075811,0.034634512,0.049832273,0.039589964,0.060525473,0.06378215,0.038958997,0.06874506,0.05016202,0.06409746,0.04065932,0.05620977,0.029590566,0.039107386,0.06581453,0.03400948,0.032899003,0.05752148,0.04810508,0.034997493
aej,0.0630673,0.056963895,0.044520736,0.0526779,0.035866592,0.047221024,0.026616016,0.062451314,0.044695415,0.03658322,0.070863254,0.07776371,0.08189256,0.04072818,0.02347065,0.060009595,0.028972812,0.030394498,0.040727887,0.074513435
aem,0.03821014,0.02500166,0.051536996,0.047167484,0.04005351,0.067346185,0.040192876,0.057908963,0.036906324,0.035295628,0.07913091,0.036048915,0.03723099,0.029012585,0.046075925,0.077251226,0.05812731,0.05926142,0.06147361,0.0767674
aes,0.08878277,0.043709256,0.044724062,0.032215446,0.057245668,0.027243773,0.039088167,0.07705118,0.061511796,0.052178524,0.060994733,0.035980467,0.057203222,0.059796967,0.038760502,0.039504066,0.03522433,0.07985558,0.03530355,0.033625938
afd,0.022996781,0.022992464,0.046492446,0.043620497,0.11045729,0.1704034,0.031887617,0.027319634,0.025099551,0.064913996,0.07585857,0.10490919,0.028418183,0.031711746,0.02738582,0.033031713,0.0283657,0.04356342,0.030132275,0.030439682
afl,0.033777993,0.025178857,0.038050786,0.019888515,0.030087145,0.030812424,0.06164615,0.035146438,0.19024868,0.060226895,0.055501167,0.03438296,0.042340666,0.042230383,0.05049215,0.072660044,0.033956427,0.06414243,0.018769495,0.06046035
agb,0.024825554,0.19031319,0.024924371,0.051956356,0.087560385,0.030455299,0.019602478,0.025588417,0.093373396,0.034857035,0.017363528,0.034838572,0.09209319,0.03556236,0.024112014,0.029184643,0.025608793,0.053363208,0.076976046,0.02744114
agl,0.05989428,0.041036516,0.04256013,0.05522438,0.0646706,0.07478866,0.01764383,0.07207362,0.042129766,0.05971911,0.028232679,0.03644074,0.030234125,0.054940544,0.031158013,0.059944358,0.06282327,0.030741578,0.09009199,0.0456518
ahg,0.026892979,0.041158825,0.032195773,0.053300146,0.027185459,0.03543046,0.04177412,0.12466968,0.019327693,0.04654158,0.0742429,0.037244476,0.02778289,0.024012104,0.033742778,0.064328775,0.06507199,0.087689,0.08725408,0.050154418
ahr,0.041785985,0.035350353,0.06867535,0.028923485,0.10245994,0.04097029,0.038976077,0.03821263,0.053357773,0.035901558,0.03830213,0.05165663,0.123336025,0.040832672,0.03142292,0.07669311,0.035418767,0.02956935,0.05366528,0.034489676
aik,0.057520125,0.041038,0.045305368,0.0796565,0.0582012,0.05075683,0.087660395,0.049532708,0.044690482,0.05194767,0.032401543,0.042490005,0.038219932,0.047663774,0.055919647,0.042718187,0.060726255,0.044308204,0.039627854,0.029615369
aiv,0.03225181,0.084433585,0.08028908,0.0352022,0.023636745,0.021466682,0.05317214,0.03553843,0.1037178,0.020077216,0.05934308,0.05103396,0.04902306,0.027645823,0.11697889,0.023521736,0.055591796,0.036219265,0.058248676,0.032608077
ajf,0.033181366,0.06049594,0.11788117,0.04885085,0.04136687,0.030097293,0.044991553,0.031486154,0.033281915,0.03603704,0.028266683,0.067420214,0.03527459,0.07004549,0.032993954,0.05374132,0.040177226,0.10844155,0.04152094,0.04444792
