left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.014376632,0.1421267,0.023537783,0.011195048,0.0061628306,0.001583887,0.036864102,0.016229985,0.0043941974,0.019128967,0.0016966814,0.18531555,0.030212218,0.025127042,0.017182173,0.04934879,0.32776427,0.0106635075,0.020463763,0.056625795
aci,0.048646357,0.057100743,0.086885825,0.030998098,0.056062892,0.02466899,0.030266916,0.06559728,0.019626621,0.050905738,0.08291724,0.05862965,0.07388134,0.042038567,0.029120779,0.050862916,0.03203651,0.08977375,0.027228162,0.042751614
acn,0.048663747,0.044744354,0.014122205,0.005187793,0.022078061,0.15784338,0.037887897,0.10243431,0.03969788,0.08264525,0.022569146,0.005799996,0.055554446,0.07230917,0.0042123,0.022660129,0.030645791,0.05252807,0.040260356,0.13815571
aco,0.12181572,0.028300373,0.15486208,0.11049839,0.017844252,0.05794786,0.028253859,0.059761193,0.060996592,0.06424682,0.014299784,0.062164713,0.018283382,0.038031578,0.011188612,0.03271353,0.054954704,0.019507837,0.031212624,0.013116203
acu,0.021727167,0.07075864,0.02563917,0.026404137,0.080670476,0.023130057,0.0034405584,0.019132694,0.010720044,0.0130623095,0.14573179,0.012100529,0.34900966,0.0110818,0.01925013,0.015851486,0.01753592,0.07375224,0.047585387,0.013415816
acw,0.020082813,0.16704094,0.02295795,0.020016197,0.08595167,0.07033596,0.009113362,0.0154232625,0.016845154,0.043463826,0.0835052,0.0034123762,0.01819214,0.09437806,0.008985607,0.049926512,0.00023049393,0.24742934,0.015686622,0.007022514
adt,0.054723,0.023031555,0.05374512,0.053337246,0.004248014,0.011591213,0.053743713,0.003180589,0.0012403803,0.036039524,0.06537317,0.029548261,0.14821023,0.089771725,0.058171272,0.028680893,0.021038612,0.08506731,0.11096497,0.06829323
aei,0.07163156,0.025501676,0.036776435,0.0026488844,0.056697417,0.04861875,0.036947392,0.12519693,0.03206863,0.067669086,0.022421084,0.05698689,0.046370722,0.05324652,0.11974049,0.012944106,0.039723966,0.0840626,0.035213374,0.025533507
aej,0.09520331,0.0477706,0.053964593,0.016537916,0.038717184,0.06922342,0.048119977,0.051472213,0.012793247,0.006382015,0.082554,0.14747216,0.089086704,0.070778415,0.026478738,0.05421715,0.01933065,0.0013799637,0.030127924,0.03838975
aem,0.029698102,0.015177033,0.056488127,0.025814023,0.029853048,0.05226605,0.0126130115,0.028241007,0.012825711,0.015679335,0.13482738,0.016602816,0.017076042,0.01329258,0.030514078,0.18818195,0.04734483,0.05063442,0.07937929,0.14349127
aes,0.1584244,0.040592734,0.033290334,0.020771654,0.02693826,0.026113257,0.03937402,0.061810333,0.05931846,0.074549645,0.043634802,0.07700465,0.0696463,0.07749105,0.013949659,0.04804697,0.0251379,0.058622293,0.035659414,0.009623814
afd,0.014912154,0.012416223,0.082397915,0.028685002,0.091888875,0.1975606,0.024890108,0.016530717,0.012763956,0.07007661,0.1118733,0.15772617,0.006912261,0.025238601,0.016636465,0.034147777,0.0051914165,0.048789408,0.01965811,0.021704331
afl,0.015902156,0.0059753605,0.027037365,0.005641399,0.010215644,0.0122413365,0.071346685,0.018381866,0.39704052,0.056248456,0.03705882,0.021774676,0.023358533,0.025448777,0.042075444,0.09660911,0.019174796,0.07756203,0.009644244,0.027262805
agb,0.003358133,0.35731682,0.015614333,0.040046714,0.08278296,0.013287514,0.0068058833,0.011084286,0.19112295,0.013879996,0.00864149,0.010175132,0.06730875,0.017879631,0.0015655464,0.012608465,0.01764397,0.0655182,0.058250584,0.0051086224
agl,0.07620358,0.026606984,0.0402656,0.007859446,0.04632057,0.09451735,0.00032969387,0.089280225,0.03517074,0.1135799,0.01159771,0.06230379,0.015923554,0.06712758,0.0077202055,0.05877812,0.061641123,0.014743504,0.10795738,0.062072814
ahg,0.01631084,0.039383557,0.016071102,0.034404274,0.009922753,0.01400594,0.03433462,0.24677634,0.0033900985,0.03248166,0.080067135,0.01808908,0.013914172,0.012840671,0.014784821,0.064985596,0.057373904,0.0959681,0.1589776,0.035917714
ahr,0.013103666,0.025494112,0.07646691,0.0077628647,0.1741779,0.018541515,0.016833393,0.0051007336,0.03385638,0.014777165,0.004800622,0.028313704,0.28799886,0.05784655,0.0113451835,0.15252401,0.015916945,0.006610973,0.043497376,0.0050311117
aik,0.09511396,0.022030469,0.04132833,0.18201444,0.09282935,0.0652059,0.12653558,0.049542706,0.047155626,0.016516456,0.02940472,0.038792383,0.012964124,0.026155658,0.03839073,0.01529632,0.024152119,0.060794618,0.0055845124,0.01019211
aiv,0.013797956,0.12710637,0.059977647,0.026312346,0.012040823,0.01080419,0.03760374,0.03939718,0.18357302,0.010186761,0.109791875,0.08183146,0.021083217,0.016635014,0.09718997,0.01797982,0.06421963,0.017366083,0.028539866,0.024563069
ajf,0.020695187,0.10802232,0.25155535,0.048566025,0.032372933,0.0017116248,0.039958313,0.016728476,0.027545292,0.010854832,0.033424236,0.06526329,0.023134204,0.050143383,0.018822849,0.03623742,0.048175193,0.109457575,0.028165376,0.02916608
ajk,0.08237814,0.023162166,0.034677424,0.056807794,0.0441685,0.21415578,0.029506693,0.021038828,0.033763256,0.012288096,0.042666614,0.011756091,0.0004772136,0.046718925,0.056681756,0.0012329227,0.024092572,0.1688633,0.018379213,0.07718463
aka,0.01864481,0.042590678,0.056284845,0.004225655,0.08477217,0.054893434,0.07542393,0.05076895,0.10720587,0.026790673,0.13775362,0.013439123,0.053048924,0.04023972,0.015305082,0.011113732,0.032319,0.04774314,0.081895016,0.045541663
akg,0.017408114,0.00811968,0.025702009,0.026280869,0.034814816,0.025938274,0.0072538373,0.027047526,0.078551225,0.024653383,0.025657546,0.06509569,0.12097693,0.031925894,0.027934516,0.065644085,0.024276191,0.0188393,0.32954136,0.014338793
alc,0.015944175,0.027007075,0.0027784638,0.019219551,0.0043063094,0.0042718463,0.004836112,0.016667943,0.020211514,0.028821973,0.12623009,0.14190935,0.014442947,0.22113937,0.13220637,0.015093103,0.058450468,0.0050931056,0.02282761,0.11854267
ali,0.015651006,0.033952113,0.15379266,0.079997756,6.1489816e-05,0.0021334523,0.15030578,0.009467812,0.038464643,0.021248098,0.038275536,0.008311081,0.00448842,0.04170073,0.028875057,0.03682107,0.035437267,0.15945512,0.13721298,0.004347846
alt,0.0017283438,0.026613597,0.017721387,0.10521412,0.066716194,0.010538608,0.019630993,0.029538676,0.01101939,0.2079242,0.009762,0.01957138,0.13877557,0.0053513953,0.038906302,0.019273465,0.0067104674,0.20290977,0.040790338,0.021303816
