left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.01777344,0.111969426,0.027645696,0.03295774,0.017581083,0.019500025,0.037679825,0.055589687,0.012691044,0.036787003,0.024634995,0.15538314,0.0644106,0.023667518,0.024813415,0.0419032,0.20245197,0.027604822,0.021913975,0.043041296
aci,0.047860146,0.033211365,0.029549014,0.025251951,0.047857836,0.047920093,0.03354824,0.058197293,0.035096813,0.08898091,0.047834344,0.05225089,0.09622692,0.06023223,0.03515753,0.036304075,0.04057168,0.07429992,0.037740603,0.0719082
acn,0.04543348,0.07498321,0.017779266,0.027937705,0.027119812,0.08302468,0.050681584,0.09227456,0.03302554,0.074933186,0.042102482,0.017668897,0.076892205,0.04403927,0.012470598,0.023874959,0.05237096,0.06424976,0.03523091,0.10390697
aco,0.112999566,0.014848892,0.094841525,0.10167428,0.015163314,0.052635755,0.09509653,0.07003883,0.05063205,0.06105921,0.021194074,0.025700921,0.016068684,0.03201226,0.031097613,0.054466132,0.055981323,0.018763473,0.055484377,0.020241123
acu,0.03005296,0.0558588,0.047487378,0.03970849,0.07851094,0.043277916,0.015754541,0.026418509,0.018672083,0.025156712,0.11262933,0.024921395,0.16099201,0.026934922,0.037215542,0.019264404,0.016329175,0.11501819,0.06784746,0.03794922
acw,0.02673781,0.15872055,0.033456117,0.030755712,0.056600895,0.05595911,0.014056062,0.021269906,0.02599342,0.054355104,0.08611399,0.02282707,0.027416477,0.05773575,0.019222137,0.045418065,0.018744124,0.20490082,0.023501677,0.016215077
adt,0.049941,0.032329742,0.038535945,0.039074417,0.02125355,0.043684293,0.03911725,0.020322388,0.033569474,0.03581599,0.0557939,0.01877397,0.14423959,0.033282295,0.062185664,0.030801967,0.028854521,0.084363036,0.12899889,0.059062142
aei,0.11457039,0.024231642,0.039144944,0.026349247,0.07238115,0.06603724,0.029988492,0.07188466,0.037312545,0.08548439,0.028707003,0.05169257,0.04430503,0.0350415,0.08064613,0.026991276,0.031242631,0.06533545,0.04045708,0.02819667
aej,0.06759526,0.060794525,0.042746976,0.046358004,0.034894474,0.042626213,0.024277918,0.059774272,0.03140755,0.033048555,0.071317025,0.0855846,0.106542416,0.0353861,0.02412125,0.051396683,0.018928137,0.025318468,0.034232236,0.10364934
aem,0.036042653,0.019376991,0.053674914,0.038617425,0.03722056,0.087116905,0.030997435,0.046405874,0.029046908,0.035864126,0.09251696,0.03910019,0.0357009,0.023461506,0.036285743,0.103073224,0.05987597,0.061965626,0.051498767,0.08215729
aes,0.12087628,0.03816211,0.041812226,0.025380079,0.052260812,0.02120581,0.03870135,0.090080656,0.054460384,0.060290422,0.061019126,0.041760013,0.0444079,0.060846485,0.032239836,0.036542106,0.02857742,0.103315905,0.026369827,0.021691214
afd,0.015294317,0.016480783,0.04055141,0.025508352,0.1141319,0.21292041,0.030880716,0.01978642,0.01593383,0.08130589,0.1064466,0.11794412,0.025864849,0.024211947,0.019617196,0.019877579,0.02142502,0.048289526,0.02525303,0.018276075
afl,0.02373105,0.013550998,0.020337744,0.010417563,0.013881037,0.018765101,0.053099707,0.026758267,0.3731686,0.050815403,0.043772615,0.019469716,0.037887245,0.03211998,0.049105372,0.07110337,0.021615438,0.063684456,0.0091662435,0.047550224
