left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.040625438,0.091508634,0.052012037,0.042351753,0.010735353,0.014777013,0.0176784,0.05875298,0.04566983,0.057934236,0.01979581,0.061575826,0.043218732,0.04103564,0.06811059,0.04543663,0.15402947,0.019105503,0.06259534,0.053050794
aci,0.040459853,0.03469126,0.04495102,0.065244384,0.07630062,0.03904926,0.057008248,0.035205808,0.050882854,0.03952737,0.03470675,0.046610273,0.052924346,0.08911909,0.046346273,0.069748834,0.04293711,0.03553576,0.043567173,0.05518383
acn,0.036242083,0.13766126,0.032378394,0.03053617,0.021481203,0.070238546,0.027501626,0.09423176,0.036071364,0.08792098,0.02699502,0.052278582,0.048082512,0.03807367,0.020504624,0.015209701,0.047424857,0.055443432,0.040873278,0.080850944
aco,0.07764285,0.05069569,0.098269366,0.06342228,0.024234507,0.087095834,0.08245994,0.052046996,0.052659553,0.0413793,0.031494457,0.025616508,0.026000576,0.023320561,0.069458425,0.040560536,0.032072242,0.016773064,0.0637577,0.041039646
acu,0.02746942,0.14682466,0.063963085,0.060750138,0.036799677,0.0381693,0.01935063,0.044373225,0.020477613,0.03404784,0.086617485,0.017955797,0.07912907,0.04738359,0.06409434,0.02956703,0.014070982,0.08223302,0.05154098,0.03518216
acw,0.034851495,0.07142644,0.06894363,0.03648284,0.073706545,0.042285517,0.08332053,0.022687163,0.01201391,0.030864883,0.044732783,0.0018505794,0.03155466,0.07079685,0.015808607,0.029091997,0.03856414,0.25709516,0.017426955,0.016495284
adt,0.06432715,0.066686,0.023305023,0.060517393,0.037745923,0.026361862,0.0753467,0.015539807,0.016937932,0.027917942,0.047452528,0.046669424,0.030739253,0.15823707,0.039785393,0.030602934,0.04683026,0.07639737,0.07089513,0.037705038
aei,0.008762372,0.066615865,0.036512412,0.021261096,0.030698774,0.04903522,0.04445145,0.07716608,0.05288236,0.03888413,0.03860488,0.05957207,0.08670707,0.042895563,0.07182779,0.05367193,0.03756971,0.069786124,0.06468958,0.048405558
aej,0.04378375,0.14108378,0.025866382,0.04467331,0.033408687,0.016936487,0.073357776,0.02672101,0.014993354,0.0109939985,0.1095519,0.098491855,0.05213851,0.030244874,0.013308582,0.042232357,0.11560216,0.02477329,0.022430569,0.05940734
aem,0.08295995,0.025846928,0.04352752,0.08015855,0.053834047,0.068862446,0.042586457,0.02859378,0.016126333,0.019841062,0.0719799,0.048208162,0.026477782,0.021717513,0.058497753,0.10043566,0.03739047,0.04501925,0.048612192,0.07932425
aes,0.06589679,0.028337909,0.031752225,0.02140193,0.089448065,0.021511879,0.034878533,0.06345871,0.03298068,0.08897347,0.14946967,0.049826536,0.019152373,0.028719714,0.051808488,0.03309502,0.020146547,0.100443915,0.039949786,0.028747775
afd,0.038604975,0.031816423,0.023231842,0.037138756,0.08777616,0.13769741,0.042157214,0.028132038,0.024368702,0.017587513,0.17997916,0.10405146,0.020503605,0.02996014,0.016952438,0.02079174,0.053250868,0.046290904,0.03976232,0.01994633
afl,0.023350772,0.025349764,0.04295386,0.015510143,0.040824108,0.029507939,0.052704092,0.014917857,0.114824414,0.11018294,0.07282277,0.020084579,0.06361824,0.03222334,0.09841494,0.02200959,0.03269285,0.08760394,0.033933625,0.06647017
agb,0.020680191,0.27418485,0.034338538,0.05842742,0.03461017,0.014325438,0.015485639,0.019673556,0.05839713,0.022598201,0.020610778,0.030948043,0.096966274,0.05611635,0.01059788,0.112724304,0.037659146,0.030134486,0.03349525,0.018026363
agl,0.028003173,0.059841793,0.0423645,0.04019489,0.09758518,0.03710327,0.07355531,0.035630196,0.049708508,0.06669923,0.04455081,0.037581306,0.027565517,0.0405846,0.029709477,0.054945536,0.0666788,0.064388976,0.036113355,0.067195505
ahg,0.045942076,0.053285383,0.060353026,0.040958267,0.016973589,0.048822425,0.059050214,0.099863224,0.020393156,0.053206597,0.08647137,0.02232857,0.035176583,0.019416982,0.026611634,0.09249833,0.059774846,0.08343986,0.048115,0.027318873
ahr,0.053338476,0.056202475,0.039112944,0.029832374,0.09922453,0.042934477,0.02449261,0.015141159,0.02523836,0.05289143,0.044751767,0.050555658,0.07869797,0.047638573,0.037973028,0.07697183,0.02186457,0.029412948,0.15884845,0.0148763675
aik,0.019783696,0.03563382,0.04569946,0.077985175,0.021402651,0.025066074,0.22348191,0.017596873,0.01261723,0.019973354,0.027709085,0.01682571,0.06309258,0.01638976,0.14020987,0.1037648,0.013883986,0.016961783,0.08595219,0.015970001
aiv,0.027226286,0.03096532,0.046103597,0.052827347,0.023087837,0.034882594,0.085241556,0.04081976,0.13101311,0.028107304,0.07868223,0.04528534,0.027025579,0.015104805,0.046942823,0.052903157,0.06456811,0.06817318,0.06991705,0.03112294
