left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.06753527,0.065670885,0.06753573,0.021106191,0.021641664,0.022022111,0.063792706,0.067280434,0.06755473,0.026737189,0.026936835,0.05516067,0.020807656,0.06751269,0.06757997,0.06753978,0.06755815,0.02105178,0.06753956,0.047436055
aci,0.041543975,0.041543923,0.04154413,0.041807443,0.041544087,0.041544013,0.08086908,0.04154393,0.041545384,0.07856367,0.07967878,0.041984424,0.07978183,0.041543927,0.041645292,0.04154413,0.04154422,0.05711084,0.04154407,0.04157289
acn,0.028354907,0.050813295,0.052711967,0.029626802,0.062431637,0.06456504,0.02805241,0.06456419,0.032476824,0.06601559,0.06456443,0.033113964,0.02619445,0.041300587,0.032390222,0.06456545,0.06456432,0.06456483,0.0645644,0.06456472
aco,0.04002842,0.04325136,0.04049241,0.04003891,0.040028296,0.040031433,0.08804513,0.047018595,0.040028587,0.094779216,0.040072784,0.04002859,0.040028296,0.040028352,0.066080876,0.048544303,0.04073838,0.04002833,0.088716194,0.0419914
acu,0.024418177,0.067245595,0.061431754,0.06724398,0.067241155,0.06715154,0.022509502,0.039090723,0.018825337,0.022297347,0.06723711,0.025352154,0.06721269,0.02635127,0.067190014,0.06723852,0.06719321,0.06707961,0.06709492,0.020595374
acw,0.068258464,0.06829117,0.065116554,0.0682897,0.06818517,0.0683028,0.068254754,0.06214145,0.022605395,0.051161863,0.068293035,0.0003127089,0.024482958,0.06829005,0.022190161,0.03049376,0.02149152,0.06762018,0.06830501,0.01791336
adt,0.06795655,0.06787348,0.06791543,0.06794682,0.021365965,0.028260656,0.06780614,0.022031408,0.023533978,0.023923585,0.06793637,0.065182015,0.019795334,0.06794499,0.06725763,0.02225007,0.067955635,0.06795203,0.06794279,0.027169108
aei,0.056067817,0.07900962,0.045004126,0.051746536,0.05055755,0.061989482,0.0450042,0.045004092,0.04500414,0.0450043,0.046248112,0.04500453,0.04500431,0.045009203,0.045004338,0.05152086,0.04500427,0.06280414,0.045004245,0.045004148
aej,0.027365254,0.055859998,0.055852998,0.055852387,0.031178717,0.055855054,0.055854376,0.026562367,0.03123976,0.02633934,0.055853758,0.055852044,0.066657424,0.073727444,0.0558521,0.055853516,0.06920795,0.03156939,0.0558951,0.057571072
aem,0.06753921,0.067506835,0.06754239,0.03186426,0.067518674,0.06754212,0.040529314,0.021668183,0.022198819,0.020917628,0.06751938,0.06754292,0.038141236,0.022006078,0.06744581,0.06754295,0.031026721,0.02884911,0.067551374,0.06754706
