left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.026759544,0.12578589,0.039190564,0.019982902,0.01432706,0.030768296,0.04165038,0.10820555,0.03549773,0.03135904,0.01088146,0.06182512,0.01596908,0.050934393,0.047646083,0.10698115,0.09754749,0.019019274,0.059941433,0.055727564
aci,0.03240382,0.020559333,0.034619413,0.073012196,0.090576254,0.02458139,0.049757574,0.09932476,0.0249687,0.019248195,0.07970833,0.03571168,0.02337493,0.040939506,0.06087194,0.047243353,0.053632088,0.084235296,0.03170308,0.07352818
acn,0.08432143,0.09072578,0.025043746,0.04873454,0.05474642,0.0674621,0.04243073,0.040463787,0.022692474,0.06765898,0.06210024,0.05092537,0.12089957,0.023996262,0.023371404,0.02619058,0.03958308,0.054589543,0.010813782,0.04325025
aco,0.027124198,0.05260458,0.05348536,0.09479702,0.016497182,0.08898689,0.08873808,0.04258202,0.04073434,0.021649221,0.05243745,0.007315781,0.019474324,0.05872585,0.09462774,0.037454084,0.054749582,0.011713664,0.08498874,0.051313862
acu,0.043472257,0.09751794,0.10453276,0.11366504,0.06566814,0.027719354,0.017641239,0.04979182,0.02156745,0.08353861,0.0214131,0.03134017,0.045907628,0.05031117,0.04106809,0.020674909,0.020623261,0.010667776,0.06628068,0.066598535
acw,0.021151287,0.25168332,0.06163761,0.06664909,0.038970333,0.04288588,0.044208687,0.032858387,0.024076892,0.025600333,0.055134453,0.02092252,0.01772901,0.036457572,0.022615107,0.07069757,0.035934165,0.09910547,0.012627114,0.01905512
adt,0.05165861,0.041893233,0.024374742,0.12141466,0.019337151,0.025476139,0.031473834,0.011467777,0.01766979,0.014086302,0.064798124,0.046136063,0.04424977,0.05508635,0.07354886,0.02812282,0.035341356,0.100930125,0.13160503,0.06132932
aei,0.022499803,0.042862013,0.06436361,0.011861469,0.02806433,0.041621417,0.047121726,0.10443254,0.06262425,0.035408482,0.08112419,0.060253818,0.016222365,0.03378132,0.069318935,0.026439652,0.07303506,0.045182984,0.049937725,0.0838443
aej,0.055011213,0.12726763,0.013127395,0.03411231,0.054250315,0.044747148,0.012565383,0.042505328,0.025316201,0.071698815,0.0527249,0.050786067,0.057639048,0.03363484,0.07268056,0.024303291,0.103543885,0.021944264,0.033022337,0.06911912
aem,0.16486211,0.017377006,0.05006764,0.043554492,0.06770021,0.058778673,0.053995434,0.028211523,0.015425102,0.026279222,0.03584258,0.015931057,0.043092635,0.011995355,0.040510345,0.07968623,0.046623163,0.028737418,0.04482486,0.12650497
aes,0.081736535,0.113694474,0.03519373,0.03687394,0.1323929,0.031112012,0.02709797,0.05694207,0.007871026,0.04413177,0.093929134,0.018883752,0.022363259,0.022671083,0.08468592,0.037008144,0.0118408725,0.0954088,0.031311188,0.0148514295
afd,0.026738461,0.039103623,0.030089475,0.032158975,0.07870261,0.082437955,0.036005173,0.03542078,0.03441641,0.008622131,0.1577026,0.19514659,0.07824088,0.026864277,0.017660558,0.012892512,0.044834036,0.011794908,0.041395865,0.009772075
afl,0.023928015,0.046528444,0.03561852,0.0091069415,0.017008564,0.038827833,0.11358529,0.014757778,0.19653457,0.04392436,0.049194716,0.044318665,0.058660492,0.02893609,0.038188454,0.036152538,0.04040211,0.042300977,0.032208372,0.089817256
agb,0.03890463,0.291786,0.03400482,0.04275233,0.036632333,0.0068806675,0.014341911,0.027617246,0.04250931,0.019229861,0.0131100975,0.021870188,0.06460313,0.058262393,0.021542626,0.052224137,0.05107813,0.04760658,0.09654578,0.018497894
agl,0.025912879,0.032615963,0.080751985,0.1195336,0.079978526,0.041592587,0.075092524,0.02283342,0.049110323,0.10258119,0.040533546,0.020276837,0.05056368,0.038141806,0.012677579,0.030887803,0.06568548,0.035798933,0.04843309,0.026998257
ahg,0.03647453,0.07357451,0.043823063,0.10649152,0.014895408,0.013349312,0.02621259,0.15621081,0.011313802,0.012724877,0.09352754,0.033750053,0.019532146,0.03228328,0.028811542,0.059415676,0.08739165,0.07677154,0.041721575,0.0317245
ahr,0.051875852,0.021499457,0.11068693,0.011168896,0.069636025,0.048289835,0.058198076,0.020432873,0.06373655,0.0475061,0.039408155,0.06188734,0.093248636,0.05690755,0.04435745,0.055283155,0.029082557,0.022422623,0.08444914,0.009922876
aik,0.017235393,0.06312098,0.0975373,0.08050735,0.050547585,0.047552895,0.071164735,0.01759909,0.027510535,0.027949145,0.06515566,0.023889676,0.07102743,0.03874909,0.030871043,0.10834239,0.029075945,0.025698792,0.08914588,0.01731912
aiv,0.045894545,0.08144343,0.041234277,0.026688475,0.021840194,0.018182475,0.058852557,0.04896037,0.06492469,0.032642223,0.043724205,0.029487506,0.117438085,0.019272536,0.031157995,0.019122764,0.027026137,0.07819084,0.09638381,0.09753283
ajf,0.04394473,0.11265888,0.0285271,0.13091333,0.01433924,0.021638004,0.03567205,0.074888565,0.032591123,0.046136767,0.08518673,0.07359212,0.017879339,0.03968264,0.027444478,0.049457345,0.025728486,0.048042316,0.04716865,0.044508047
ajk,0.048118003,0.13887206,0.033652775,0.015252854,0.031208472,0.20531139,0.03021983,0.029508153,0.022423172,0.011086072,0.024182871,0.02332406,0.016066618,0.0238025,0.033231735,0.0125505505,0.049207285,0.167254,0.016525574,0.068202086
aka,0.072837844,0.058799617,0.028879981,0.016486384,0.024312839,0.023849983,0.059521373,0.071713455,0.04238798,0.07053719,0.019128403,0.044934068,0.06824811,0.017770896,0.090550095,0.061272983,0.0649124,0.051710106,0.06607479,0.046071604
akg,0.020079829,0.01734276,0.05214041,0.032251414,0.019099684,0.019791508,0.020764794,0.108034045,0.03475922,0.008906338,0.019367833,0.02553161,0.19502603,0.028673114,0.026689615,0.09937202,0.015473621,0.025484137,0.19659685,0.034615207
alc,0.011537839,0.029254662,0.00925827,0.05772877,0.019328991,0.012398632,0.009887744,0.054727133,0.033942696,0.09439517,0.11493808,0.013518197,0.030997824,0.10662133,0.103349656,0.003940131,0.12723438,0.016729282,0.13566397,0.0145473
ali,0.01983795,0.03389736,0.19910082,0.091249175,0.015396712,0.009057408,0.1747178,0.060016386,0.020240275,0.028106064,0.017343907,0.02052631,0.016113473,0.03444407,0.057670258,0.022201989,0.04674639,0.08660358,0.036543727,0.010186357
alt,0.020627342,0.020614194,0.034071483,0.15989703,0.10584001,0.026762282,0.014807899,0.05626469,0.010137937,0.046647407,0.015978947,0.029797634,0.11377956,0.015912455,0.042236626,0.0586381,0.035770904,0.039361604,0.08439541,0.06845847
alx,0.016818421,0.018263765,0.067345805,0.03031759,0.05303303,0.053402543,0.016356176,0.038080562,0.042247135,0.05828985,0.06990764,0.016849969,0.089308634,0.14157502,0.022516485,0.017895086,0.025408784,0.119393535,0.06777092,0.03521907
aly,0.07185067,0.030231774,0.1098216,0.022434682,0.018685319,0.03292559,0.04130678,0.01592016,0.070009865,0.18071213,0.033798605,0.022746503,0.06195667,0.027216554,0.08860152,0.020105219,0.032972552,0.0145830605,0.020042388,0.08407842
ama,0.03284698,0.019334318,0.080671616,0.12959364,0.05194156,0.032247495,0.023823839,0.070585474,0.03787652,0.042850126,0.018994661,0.04193153,0.034093115,0.06914467,0.044883136,0.039321985,0.014069202,0.06317925,0.027327187,0.1252836
amb,0.041374702,0.03939404,0.06096912,0.13565214,0.017771417,0.13476728,0.0182675,0.0111040585,0.06348271,0.013156952,0.015961833,0.08511533,0.047528163,0.034542833,0.057097245,0.04488046,0.020838397,0.017797578,0.11243375,0.027864499
amd,0.038474903,0.05950479,0.10391265,0.07882671,0.016541932,0.022473844,0.032086268,0.088802576,0.045042712,0.011892695,0.03976794,0.035015278,0.021088127,0.0763887,0.08342789,0.02043861,0.0748102,0.06788365,0.06027374,0.023346769
amg,0.016513752,0.033450723,0.02026365,0.049504697,0.06024311,0.07707577,0.056831677,0.17322937,0.08496188,0.014584665,0.021401353,0.027530871,0.012181281,0.045835882,0.0172287,0.09791863,0.026415136,0.06846838,0.029131565,0.06722896
amh,0.024975915,0.19264928,0.14404778,0.045971874,0.02356098,0.026222883,0.026465828,0.013579728,0.10289796,0.013657394,0.011731033,0.046080545,0.009645397,0.031523116,0.07467338,0.02275361,0.033255126,0.0146791395,0.12954392,0.012085209
amn,0.052371453,0.027883325,0.02060174,0.072888054,0.0454098,0.09370801,0.022477703,0.045660432,0.042514116,0.02031991,0.050369944,0.08314017,0.10170746,0.048888795,0.027902786,0.12951092,0.03558357,0.04185005,0.010857639,0.026354088
amq,0.08727638,0.043176606,0.04614066,0.02814675,0.015356954,0.030750629,0.011337268,0.042787053,0.0411823,0.13649641,0.009771187,0.17841703,0.013937193,0.020834614,0.058469556,0.05308984,0.108538255,0.028260292,0.03423088,0.01180009
aop,0.022016482,0.011539808,0.019017953,0.0067088394,0.017524196,0.29332513,0.036467418,0.036503535,0.018148676,0.024793705,0.25652292,0.039281953,0.021673558,0.018722918,0.025683114,0.02245084,0.031304855,0.031789605,0.050138757,0.016385794
aoq,0.114959024,0.11172275,0.014938923,0.032507215,0.017789606,0.113387205,0.012337088,0.029775416,0.014711417,0.057283413,0.08166821,0.10848914,0.0501435,0.01774106,0.052057415,0.056583725,0.023185192,0.049107675,0.026751196,0.014860817
aoy,0.054819357,0.046827342,0.027563902,0.044154186,0.055923656,0.078215,0.010140153,0.05056329,0.03965697,0.023883581,0.045122974,0.0955341,0.017409027,0.14573738,0.061030045,0.09221952,0.019573411,0.038762197,0.046478514,0.006385353
